title,year,role_type,person_name
10 Things I Hate About You,1999,Director,Gil Junger
10 Things I Hate About You,1999,Writer,Karen McCullah
10 Things I Hate About You,1999,Writer,Kirsten Smith
10 Things I Hate About You,1999,Actor,Heath Ledger
10 Things I Hate About You,1999,Actor,Julia Stiles
10 Things I Hate About You,1999,Actor,Joseph Gordon-Levitt
10 Things I Hate About You,1999,Actor,Larisa Oleynik
12 Years a Slave,2013,Director,Steve McQueen
12 Years a Slave,2013,Writer,John Ridley
12 Years a Slave,2013,Writer,Solomon Northup
12 Years a Slave,2013,Actor,Chiwetel Ejiofor
12 Years a Slave,2013,Actor,Dwight Henry
12 Years a Slave,2013,Actor,Dickie Gravois
12 Years a Slave,2013,Actor,Bryan Batt
127 Hours,2010,Director,Danny Boyle
127 Hours,2010,Writer,Danny Boyle
127 Hours,2010,Writer,Simon Beaufoy
127 Hours,2010,Writer,Aron Ralston
127 Hours,2010,Actor,James Franco
127 Hours,2010,Actor,Kate Mara
127 Hours,2010,Actor,Amber Tamblyn
127 Hours,2010,Actor,Sean Bott
17 Again,2009,Director,Burr Steers
17 Again,2009,Writer,Jason Filardi
17 Again,2009,Actor,Zac Efron
17 Again,2009,Actor,Leslie Mann
17 Again,2009,Actor,Thomas Lennon
17 Again,2009,Actor,Matthew Perry
2012,2009,Director,Roland Emmerich
2012,2009,Writer,Roland Emmerich
2012,2009,Writer,Harald Kloser
2012,2009,Actor,John Cusack
2012,2009,Actor,Amanda Peet
2012,2009,Actor,Chiwetel Ejiofor
2012,2009,Actor,Thandie Newton
21,2008,Director,Robert Luketic
21,2008,Writer,Peter Steinfeld
21,2008,Writer,Allan Loeb
21,2008,Writer,Ben Mezrich
21,2008,Actor,Jim Sturgess
21,2008,Actor,Kevin Spacey
21,2008,Actor,Kate Bosworth
21,2008,Actor,Aaron Yoo
25th Hour,2002,Director,Spike Lee
25th Hour,2002,Writer,David Benioff
25th Hour,2002,Writer,David Benioff
25th Hour,2002,Actor,Edward Norton
25th Hour,2002,Actor,Philip Seymour Hoffman
25th Hour,2002,Actor,Barry Pepper
25th Hour,2002,Actor,Rosario Dawson
28 Days,2000,Director,Betty Thomas
28 Days,2000,Writer,Susannah Grant
28 Days,2000,Actor,Sandra Bullock
28 Days,2000,Actor,Viggo Mortensen
28 Days,2000,Actor,Dominic West
28 Days,2000,Actor,Elizabeth Perkins
28 Days Later...,2002,Director,Danny Boyle
28 Days Later...,2002,Writer,Alex Garland
28 Days Later...,2002,Actor,Alex Palmer
28 Days Later...,2002,Actor,Bindu De Stoppani
28 Days Later...,2002,Actor,Jukka Hiltunen
28 Days Later...,2002,Actor,David Schneider
30 Days of Night,2007,Director,David Slade
30 Days of Night,2007,Writer,Steve Niles
30 Days of Night,2007,Writer,Stuart Beattie
30 Days of Night,2007,Writer,Brian Nelson
30 Days of Night,2007,Writer,Steve Niles
30 Days of Night,2007,Writer,Ben Templesmith
30 Days of Night,2007,Actor,Josh Hartnett
30 Days of Night,2007,Actor,Melissa George
30 Days of Night,2007,Actor,Danny Huston
30 Days of Night,2007,Actor,Ben Foster
30 Minutes or Less,2011,Director,Ruben Fleischer
30 Minutes or Less,2011,Writer,Michael Diliberti
30 Minutes or Less,2011,Writer,Michael Diliberti
30 Minutes or Less,2011,Writer,Matthew Sullivan
30 Minutes or Less,2011,Actor,Jesse Eisenberg
30 Minutes or Less,2011,Actor,Danny McBride
30 Minutes or Less,2011,Actor,Aziz Ansari
30 Minutes or Less,2011,Actor,Nick Swardson
300,2006,Director,Zack Snyder
300,2006,Writer,Zack Snyder
300,2006,Writer,Kurt Johnstad
300,2006,Writer,Michael B. Gordon
300,2006,Writer,Frank Miller
300,2006,Writer,Lynn Varley
300,2006,Actor,Gerard Butler
300,2006,Actor,Lena Headey
300,2006,Actor,Dominic West
300,2006,Actor,David Wenham
3:10 to Yuma,2007,Director,James Mangold
3:10 to Yuma,2007,Writer,Halsted Welles
3:10 to Yuma,2007,Writer,Michael Brandt
3:10 to Yuma,2007,Writer,Derek Haas
3:10 to Yuma,2007,Writer,Elmore Leonard
3:10 to Yuma,2007,Actor,Russell Crowe
3:10 to Yuma,2007,Actor,Christian Bale
3:10 to Yuma,2007,Actor,Logan Lerman
3:10 to Yuma,2007,Actor,Dallas Roberts
42,2013,Director,Brian Helgeland
42,2013,Writer,Brian Helgeland
42,2013,Actor,Chadwick Boseman
42,2013,Actor,Harrison Ford
42,2013,Actor,Nicole Beharie
42,2013,Actor,Christopher Meloni
50/50,2011,Director,Jonathan Levine
50/50,2011,Writer,Will Reiser
50/50,2011,Actor,Joseph Gordon-Levitt
50/50,2011,Actor,Seth Rogen
50/50,2011,Actor,Anna Kendrick
50/50,2011,Actor,Bryce Dallas Howard
8MM,1999,Director,Joel Schumacher
8MM,1999,Writer,Andrew Kevin Walker
8MM,1999,Actor,Nicolas Cage
8MM,1999,Actor,Joaquin Phoenix
8MM,1999,Actor,James Gandolfini
8MM,1999,Actor,Peter Stormare
A Beautiful Mind,2001,Director,Ron Howard
A Beautiful Mind,2001,Writer,Akiva Goldsman
A Beautiful Mind,2001,Writer,Sylvia Nasar
A Beautiful Mind,2001,Actor,Russell Crowe
A Beautiful Mind,2001,Actor,Ed Harris
A Beautiful Mind,2001,Actor,Jennifer Connelly
A Beautiful Mind,2001,Actor,Christopher Plummer
A Few Good Men,1992,Director,Rob Reiner
A Few Good Men,1992,Writer,Aaron Sorkin
A Few Good Men,1992,Writer,Aaron Sorkin
A Few Good Men,1992,Actor,Tom Cruise
A Few Good Men,1992,Actor,Jack Nicholson
A Few Good Men,1992,Actor,Demi Moore
A Few Good Men,1992,Actor,Kevin Bacon
A Nightmare on Elm Street,1984,Director,Wes Craven
A Nightmare on Elm Street,1984,Writer,Wes Craven
A Nightmare on Elm Street,1984,Actor,John Saxon
A Nightmare on Elm Street,1984,Actor,Ronee Blakley
A Nightmare on Elm Street,1984,Actor,Heather Langenkamp
A Nightmare on Elm Street,1984,Actor,Amanda Wyss
A Perfect Getaway,2009,Director,David Twohy
A Perfect Getaway,2009,Writer,David Twohy
A Perfect Getaway,2009,Actor,Steve Zahn
A Perfect Getaway,2009,Actor,Timothy Olyphant
A Perfect Getaway,2009,Actor,Milla Jovovich
