Layer Name	Scale Factor
----------------------------------------
layer_0	0.00239313
layer_1	0.00214583
layer_2	0.00055667
layer_3	0.00065299
layer_4	0.00101212
layer_5	0.00083604
layer_6	0.00303374
layer_7	0.00211027
layer_8	0.00083862
layer_9	0.00095304
layer_10	0.00093984
layer_11	0.00070144
layer_12	0.00628444
layer_13	0.00331793
layer_14	0.00118024
layer_15	0.00102524
layer_16	0.00086532
layer_17	0.00068657
layer_18	0.00557283
layer_19	0.00288687
layer_20	0.00064271
layer_21	0.00061123
layer_22	0.00084688
layer_23	0.00053669
layer_24	0.00532758
layer_25	0.00251693
layer_26	0.00052430
layer_27	0.00053881
layer_28	0.00075396
layer_29	0.00056306
layer_30	0.00537734
layer_31	0.00214318
layer_32	0.00049176
layer_33	0.00069100
layer_34	0.00089992
layer_35	0.00055289
layer_36	0.00808994
layer_37	0.00238908
layer_38	0.00057134
layer_39	0.00054302
layer_40	0.00079112
layer_41	0.00049870
layer_42	0.00393432
layer_43	0.00218769
layer_44	0.00071117
layer_45	0.00074450
layer_46	0.00096883
layer_47	0.00078476
